id,clientID,topic,message,timestamp
326,t2g2:114,t2g2,25.45;70.77;34;Min;,2024-07-02 22:26:10
327,t2g2:114,t2g2,25.46;71.09;34;Min;,2024-07-02 22:36:10
328,t2g2:114,t2g2,25.54;71.61;34;Min;,2024-07-02 22:46:10
329,t2g2:114,t2g2,25.52;71.80;34;Min;,2024-07-02 22:56:10
330,t2g2:114,t2g2,25.58;71.62;36;Min;,2024-07-02 23:06:11
331,t2g2:114,t2g2,25.58;71.88;34;Min;,2024-07-02 23:16:11
332,t2g2:114,t2g2,25.61;71.99;34;Min;,2024-07-02 23:26:11
333,t2g2:114,t2g2,25.61;72.42;35;Min;,2024-07-02 23:36:12
334,t2g2:114,t2g2,25.65;72.52;35;Min;,2024-07-02 23:46:12
335,t2g2:114,t2g2,25.68;73.07;36;Min;,2024-07-02 23:56:13
336,t2g2:114,t2g2,25.68;72.80;35;Min;,2024-07-03 00:06:13
337,t2g2:114,t2g2,25.71;72.92;36;Min;,2024-07-03 00:16:13
338,t2g2:114,t2g2,25.68;73.05;36;Min;,2024-07-03 00:26:14
339,t2g2:114,t2g2,25.72;73.08;36;Min;,2024-07-03 00:36:14
340,t2g2:114,t2g2,25.69;73.35;36;Min;,2024-07-03 00:46:14
341,t2g2:114,t2g2,25.72;73.70;36;Min;,2024-07-03 00:56:15
342,t2g2:114,t2g2,25.76;73.65;36;Min;,2024-07-03 01:06:15
343,t2g2:114,t2g2,25.72;74.27;36;Min;,2024-07-03 01:16:16
344,t2g2:114,t2g2,25.75;74.83;36;Min;,2024-07-03 01:26:16
345,t2g2:114,t2g2,25.79;75.37;36;Min;,2024-07-03 01:36:16
346,t2g2:114,t2g2,25.78;75.99;36;Min;,2024-07-03 01:46:17
347,t2g2:114,t2g2,25.81;76.44;36;Min;,2024-07-03 01:56:17
348,t2g2:114,t2g2,25.82;76.87;36;Min;,2024-07-03 02:06:18
349,t2g2:114,t2g2,25.85;76.99;37;Min;,2024-07-03 02:16:18
